,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
308,X2015.47,48,0,2015,28.87701448,21.29329346,84.2702381,55.90227659,86.69162994,21.29329346,22.04408913,21.47157545,21.87126781,22.35084177,22.26011885,22.8127981,22.87910419,22.85345105,23.00239047,84.2702381,89.64285714,96.2875,126.5875,56.25357143,10.05,11.7672619,40.72083333,52.3047619,56.05892857,28.87701448,28.91153163,27.68353615,28.41811681,30.31253999,31.07736914,31.79344641,31.92432278,31.45539078,32.64094804,55.90227659,72.01321025,70.96280255,66.37337358,53.13307655,31.69909885,38.36752539,45.99810476,52.14710534,42.4641451,86.69162994,88.69293575,88.33053854,85.88006505,85.87338816,73.49622087,74.55867914,76.39065154,79.74817407,77.65519549
309,X2015.48,49,99,2015,27.5336337,21.61424657,71.86130952,65.73103536,88.29184805,21.61424657,21.29329346,22.04408913,21.47157545,21.87126781,22.35084177,22.26011885,22.8127981,22.87910419,22.85345105,71.86130952,84.2702381,89.64285714,96.2875,126.5875,56.25357143,10.05,11.7672619,40.72083333,52.3047619,27.5336337,28.87701448,28.91153163,27.68353615,28.41811681,30.31253999,31.07736914,31.79344641,31.92432278,31.45539078,65.73103536,55.90227659,72.01321025,70.96280255,66.37337358,53.13307655,31.69909885,38.36752539,45.99810476,52.14710534,88.29184805,86.69162994,88.69293575,88.33053854,85.88006505,85.87338816,73.49622087,74.55867914,76.39065154,79.74817407
310,X2015.49,50,9,2015,29.74573258,22.03837959,13.80059524,61.15702734,85.91583807,22.03837959,21.61424657,21.29329346,22.04408913,21.47157545,21.87126781,22.35084177,22.26011885,22.8127981,22.87910419,13.80059524,71.86130952,84.2702381,89.64285714,96.2875,126.5875,56.25357143,10.05,11.7672619,40.72083333,29.74573258,27.5336337,28.87701448,28.91153163,27.68353615,28.41811681,30.31253999,31.07736914,31.79344641,31.92432278,61.15702734,65.73103536,55.90227659,72.01321025,70.96280255,66.37337358,53.13307655,31.69909885,38.36752539,45.99810476,85.91583807,88.29184805,86.69162994,88.69293575,88.33053854,85.88006505,85.87338816,73.49622087,74.55867914,76.39065154
311,X2015.50,51,108,2015,29.75778969,20.71459925,7.836309524,47.39347755,80.31887681,20.71459925,22.03837959,21.61424657,21.29329346,22.04408913,21.47157545,21.87126781,22.35084177,22.26011885,22.8127981,7.836309524,13.80059524,71.86130952,84.2702381,89.64285714,96.2875,126.5875,56.25357143,10.05,11.7672619,29.75778969,29.74573258,27.5336337,28.87701448,28.91153163,27.68353615,28.41811681,30.31253999,31.07736914,31.79344641,47.39347755,61.15702734,65.73103536,55.90227659,72.01321025,70.96280255,66.37337358,53.13307655,31.69909885,38.36752539,80.31887681,85.91583807,88.29184805,86.69162994,88.69293575,88.33053854,85.88006505,85.87338816,73.49622087,74.55867914
312,X2015.51,52,0,2015,29.56452966,20.28705674,2.038095238,36.83040444,72.39047661,20.28705674,20.71459925,22.03837959,21.61424657,21.29329346,22.04408913,21.47157545,21.87126781,22.35084177,22.26011885,2.038095238,7.836309524,13.80059524,71.86130952,84.2702381,89.64285714,96.2875,126.5875,56.25357143,10.05,29.56452966,29.75778969,29.74573258,27.5336337,28.87701448,28.91153163,27.68353615,28.41811681,30.31253999,31.07736914,36.83040444,47.39347755,61.15702734,65.73103536,55.90227659,72.01321025,70.96280255,66.37337358,53.13307655,31.69909885,72.39047661,80.31887681,85.91583807,88.29184805,86.69162994,88.69293575,88.33053854,85.88006505,85.87338816,73.49622087
313,X2016,1,12,2016,29.87058582,18.9461916,0,29.39190555,70.14478385,18.9461916,20.28705674,20.71459925,22.03837959,21.61424657,21.29329346,22.04408913,21.47157545,21.87126781,22.35084177,0,2.038095238,7.836309524,13.80059524,71.86130952,84.2702381,89.64285714,96.2875,126.5875,56.25357143,29.87058582,29.56452966,29.75778969,29.74573258,27.5336337,28.87701448,28.91153163,27.68353615,28.41811681,30.31253999,29.39190555,36.83040444,47.39347755,61.15702734,65.73103536,55.90227659,72.01321025,70.96280255,66.37337358,53.13307655,70.14478385,72.39047661,80.31887681,85.91583807,88.29184805,86.69162994,88.69293575,88.33053854,85.88006505,85.87338816
314,X2016.1,2,5,2016,29.71595941,19.18024161,0,27.76673092,68.46923601,19.18024161,18.9461916,20.28705674,20.71459925,22.03837959,21.61424657,21.29329346,22.04408913,21.47157545,21.87126781,0,0,2.038095238,7.836309524,13.80059524,71.86130952,84.2702381,89.64285714,96.2875,126.5875,29.71595941,29.87058582,29.56452966,29.75778969,29.74573258,27.5336337,28.87701448,28.91153163,27.68353615,28.41811681,27.76673092,29.39190555,36.83040444,47.39347755,61.15702734,65.73103536,55.90227659,72.01321025,70.96280255,66.37337358,68.46923601,70.14478385,72.39047661,80.31887681,85.91583807,88.29184805,86.69162994,88.69293575,88.33053854,85.88006505
315,X2016.2,3,28,2016,29.98576047,20.02346883,0.503571429,25.75546782,71.18354867,20.02346883,19.18024161,18.9461916,20.28705674,20.71459925,22.03837959,21.61424657,21.29329346,22.04408913,21.47157545,0.503571429,0,0,2.038095238,7.836309524,13.80059524,71.86130952,84.2702381,89.64285714,96.2875,29.98576047,29.71595941,29.87058582,29.56452966,29.75778969,29.74573258,27.5336337,28.87701448,28.91153163,27.68353615,25.75546782,27.76673092,29.39190555,36.83040444,47.39347755,61.15702734,65.73103536,55.90227659,72.01321025,70.96280255,71.18354867,68.46923601,70.14478385,72.39047661,80.31887681,85.91583807,88.29184805,86.69162994,88.69293575,88.33053854
316,X2016.3,4,32,2016,30.79779636,21.01775643,1.369047619,24.28825533,72.30737031,21.01775643,20.02346883,19.18024161,18.9461916,20.28705674,20.71459925,22.03837959,21.61424657,21.29329346,22.04408913,1.369047619,0.503571429,0,0,2.038095238,7.836309524,13.80059524,71.86130952,84.2702381,89.64285714,30.79779636,29.98576047,29.71595941,29.87058582,29.56452966,29.75778969,29.74573258,27.5336337,28.87701448,28.91153163,24.28825533,25.75546782,27.76673092,29.39190555,36.83040444,47.39347755,61.15702734,65.73103536,55.90227659,72.01321025,72.30737031,71.18354867,68.46923601,70.14478385,72.39047661,80.31887681,85.91583807,88.29184805,86.69162994,88.69293575
317,X2016.4,5,0,2016,31.43180782,19.39320413,0,19.31467007,65.13144277,19.39320413,21.01775643,20.02346883,19.18024161,18.9461916,20.28705674,20.71459925,22.03837959,21.61424657,21.29329346,0,1.369047619,0.503571429,0,0,2.038095238,7.836309524,13.80059524,71.86130952,84.2702381,31.43180782,30.79779636,29.98576047,29.71595941,29.87058582,29.56452966,29.75778969,29.74573258,27.5336337,28.87701448,19.31467007,24.28825533,25.75546782,27.76673092,29.39190555,36.83040444,47.39347755,61.15702734,65.73103536,55.90227659,65.13144277,72.30737031,71.18354867,68.46923601,70.14478385,72.39047661,80.31887681,85.91583807,88.29184805,86.69162994
